Basis,Calc_Type,Conformer_Description,Conformer_ID,Full_Name,Method,N_atoms,Name,Status,cff,dipolex,dipoley,dipolez,file_location,file_location_pathtype,molden,out,polar_pkl,qff
cc-pVQZ,full,optimized,conf1,formic acid,LC-BLYP,5,FOAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FOAC/LC_BLYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,formic acid,CCSD(T),5,FOAC,done,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/cubic,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/dipolex,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/dipoley,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/dipolez,,absolute,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/MOLDEN,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/out,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/polar.pkl,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/refinedc4/FOAC/CCSDT_cc_pVQZ/quartic
cc-pVQZ,full,optimized,conf1,methanol,B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVTZ,full,optimized,conf1,methanol,B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/B3LYPcc_pVTZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,methanol,B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVDZ,full,optimized,conf1,methanol,B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/B3LYPcc_pVDZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,no polar ders,optimized,conf1,methanol,PBE0,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/PBE0cc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,methanol,CAM-B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/CAM_B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVTZ,full,optimized,conf1,methanol,CAM-B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/CAM_B3LYPcc_pVTZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,methanol,CAM-B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/CAM_B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVDZ,full,optimized,conf1,methanol,CAM-B3LYP,6,METH,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/METH/CAM_B3LYPcc_pVDZ/g16_inputFull_3q.out,absolute,,,,
